'LALLY', 27.55, 37, 18, 13, 0, 161, 22.98, -1.6, 0, 'LLLWLLLLWLWLWLLLLWLLWLLLWLLLLLLLLLLLLWLLLWLWWWLWWLLLLWLLWLLLLLLWLLLLLLLWLWLLLWLLLLLLLWLLLLLLLWLLLWLLLLLLLLLWWLLLLLLWLWWWLLLWLWWWWLLLLLLLLLLLLLLLLLLLLLWWLLLLLLLLW', 21, 4, 'WLLLLLLLLW' 
'HUTCH', 22.87, 28, 17, 16, 0, 161, 17.39, -5.3, 0, 'LLLWWLWLLLLLLLLLLWWLLLLLLLLLWLLLLLLLLWWLLWLWLLLLWLLLLLLLWLWLLWLLLLLLWLLWLLLLLWLLLLLWWWLLLLLLLLLLLLLLLLLLLLLLLWLLLWLLLLWWLLLWLLLWWLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLW', 31, 3, 'LLLLLLLLLW' 
'DAVIS', 28.14, 39, 17, 14, 5, 161, 24.22, -11.9, 0, 'LLLWLLLLLLLLWLLLLLLWWLLLLLLLWLLLLLLWWWLLLWLWLWWLWWLLLLWLWLLLLLLLLLLLWLLLLLLWLLLLLWLWWLLLLLLLLWLLLWLWLLWLLLLLLLLWLLLLLWWWLLLLLLWWWLWWLLLLLLWLLLWLLLWLLLWLLLLLLLLLW', 11, 3, 'LLLLLLLLLW' 
'AITKEN', 33.09, 49, 19, 16, 14, 161, 30.43, 36.7, 0, 'LLLWLLLLLLLWWLLLLLLLWLLLLLLLWWLLLLLLWWLLLWLWLWWLWWLLLWLLWLWLLLWLLLLLWWLLLLLWLWLLWLLLWWLWLLLWLLLLLWLLLLLWLLLWWLLLLWLWWLWWLWLLLLLWWWWWLLLLLLLWLLLLLLWLLLWLLLWWLWWLL', 7, 5, 'LLLWWLWWLL' 
'MICHAEL', 32.49, 48, 17, 16, 19, 161, 29.81, 16.3, 0, 'LLLWLLLLWLWWWLLLLLWLLLWLLLLLWLLLLLLWWWLLLWLWWWWWWWLLLWWLWLLLLLWLLLLWLLWLLWLWLWLLLLWLWLLLLLLWLLLWLWLLLLLWLLLLWLLLLWLWWWWWLLLLLLWLLLWLLLLLLLLLLLLLLLWLLLWLLLWLLLWLW', 15, 7, 'LLLWLLLWLW' 
'ANDREW', 26.92, 36, 16, 20, 19, 161, 22.36, -44.0, 0, 'LLLWLLLLLLLWLLLLLLWLWLLLLLLLLLLLLLLLWWLLWWWWWWLWWWLWLLLLLLLLLLLLLLLWLWLLLLLLLWLLWLWLWLLLLLLWLWLLLWLLLLLLLLLLWLLWLLLLLLWWLLLLLLWWWLWLLLLLLLWLLLLLLLWLLLWLLLLLLLLLL', 15, 6, 'LLLLLLLLLL' 
'WOO', 30.06, 42, 17, 20, 17, 161, 26.09, 19.7, 0, 'LLLLLLLLLLWLWLLLLLWLWLLLLLLLWWLLLWLWLWWLLLLWLLLLLWLLLLLLWLWLLLLLLLLLWLLLLWWLLLLLLLLLWWWLLLLWLLWWLWLWLLLLLLLWLLLWLLLWLLWWLLLLLWWWWLWWLLLLLLLLLLWLLWWLLWLLLLWLLLLLW', 10, 4, 'LLLWLLLLLW' 
'SHANNON', 32.74, 49, 20, 12, 15, 161, 30.43, 54.6, 0, 'LLLWLLLWWWLWWLLLLLWWWLLLWLLLLLLLLWLLLWLLLWLWLLLLWWLWLWWLLLWLLWLLLLLLWLLLLLLWLWLLLWLLLLLLLLLWWLLWLWLLLLLWWLLLWLLLLLLWLWWWLLLLLLWWWLWWLLLLLLWLLLWLWLLLLWWLLLWLLLWLW', 9, 3, 'LLLWLLLWLW' 
'RPONLINE', 32.39, 45, 19, 21, 19, 161, 27.95, -14.5, 0, 'LLLWLLWLLLWLWLLLLLWLWLLWLLLLLLWLLLLLLWLLLWLWLWLWWLLLLLLLWLWLLLLLLLLLWLLLLWWLLLLLLLLLWWLLLLLWLLLWLWLLLLLWWLLWWLLWLWLWWWWLLLLLLLWWWLWWLLLLLLLWLLLLLLWLLLWLLLLLLWWLW', 9, 4, 'LLLLLLWWLW' 
