RACEDATE|RACECODE|RACENUMBER,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE,RESULT,WINODDS,FAVPOS,FAVODDS,NORUNNERS,MARKET,SURFACE,CLASS,F4,TIERCE,QTT,DT,TT,TTCONS,6UP,6UPC,DH
20150627ST6,1-2-5,1-3-5,1-2-7-3,1-7-13-8,1-3-7-9,1-2-7-9,1-3-13-5,2-3-1-7,3-1-5-2,9-4-2-10,16,5,2.5,14,,,,,,,,,,,,
20150627ST7,1-5-2,11-1-2,5-1-2-12,1-11-2-10,1-2-5-6,8-1-10-5,1-8-2-10,1-2-5-11,1-5-8-11,1-8-12-3,1.6,1,1.6,14,,,,,,,,,,,,
20150627ST8,6-11-9,6-1-11,3-6-1-9,1-3-4-11,1-3-6-5,6-7-4-1,6-1-3-4,6-3-1-9,1-6-11-3,1-10-12-11,3.6,8,2.9,12,,,,,,,,,,,,
20150627ST9,2-9-3,12-3-2,2-6-5-13,9-7-2-1,2-9-5-14,7-2-5-8,1-3-7-5,2-12-4-5,2-7-9-3,2-12-7-13,4.4,1,4.4,14,,,,,,,,,,,,
20150627ST10,14-1-3,14-4-7,14-11-8-1,14-11-8-1,14-1-11-4,14-11-8-4,14-1-11-3,14-2-5-8,14-11-4-1,14-1-4-6,1.6,1,1.6,14,,,,,,,,,,,,
20150701ST1,5-7-6,5-6-7,5-7-4-6,5-6-4-7,5-4-6-8,5-7-6-10,5-6-4-9,5-4-7-6,6-4-5-8,5-6-4-8,1.6,1,1.6,10,,,,,,,,,,,,
20150701ST2,13-2-1,1-2-14,13-2-10-1,12-2-8-4,2-12-9-4,13-12-14-9,2-10-4-9,12-1-13-10,2-4-12-13,4-9-2-13,9.9,3,2.3,13,,,,,,,,,,,,
20150701ST3,1-3-2,4-3-1,1-3-5-6,5-3-6-1,6-1-3-5,2-3-1-4,3-1-5-4,1-2-3-4,3-4-1-5,5-1-6-2,5.6,5,2.2,6,,,,,,,,,,,,
20150701ST4,2-6-14,2-13-6,2-11-13-9,11-8-1-2,2-11-1-12,14-6-11-3,1-11-12-3,8-9-11-14,11-1-14-13,9-5-1-11,14,3.8,4,14,,,,,,,,,,,,
20150701ST5,1-13-6,1-9-7,2-1-13-9,10-12-1-6,10-4-3-13,12-10-6-9,6-3-10-2,13-1-4-9,10-13-1-6,1-4-13-2,6.6,6,3.6,14,,,,,,,,,,,,
20150701ST6,7-5-14,9-6-13,9-6-1-10,3-9-11-6,7-6-9-5,9-3-5-10,9-6-1-5,9-10-5-7,9-5-6-2,6-4-9-1,7.5,3,2.5,14,,,,,,,,,,,,
20150701ST7,6-10-12,14-6-10,1-8-6-14,14-8-12-10,8-3-6-5,5-3-13-8,6-14-8-9,3-2-8-14,14-6-3-8,6-5-2-1,5.9,6,4.2,14,,,,,,,,,,,,
20150701ST8,1-3-6,3-1-10,1-8-10-3,2-1-6-3,1-4-7-2,1-4-7-6,1-8-4-7,1-7-6-9,1-7-4-8,1-8-9-7,2,1,2,12,,,,,,,,,,,,
20150701ST9,5-3-4,5-3-9,5-3-10-4,5-3-13-2,3-5-6-9,5-9-3-2,5-3-2-9,5-9-3-12,5-3-2-9,5-7-2-3,1.8,1,1,13,,,,,,,,,,,,
20150701ST10,4-6-1,4-2-14,4-2-1-3,4-6-2-1,2-1-4-6,4-13-6-2,4-2-1-6,4-1-2-9,4-2-3-14,4-1-13-6,1.7,1,1.7,14,,,,,,,,,,,,
20150701ST11,4-1-2,13-2-4,2-3-5,12-7-3-4,2-3-9-4,5-2-9-3,4-3-2-13,2-4-5-9,3-2-12-7,12-2-4-13,6.5,3.3,5.4,9.2,,,,,,,,,,,,
20150705ST1,,,3-5-2-1,3-5-2-1,3-5-1-2,3-2-5-4,3-2-5-1,3-5-2-1,3-2-5-1,3-2-5-1,1.2,1,1.2,5,1-2-3-4,TURF,G,0,3.3,0,,,,,,
20150705ST2,,,1-9-12-10,1-9-12-14,9-1-10-13,3-1-9-8,1-12-10-7,1-6-9-2,1-9-12-10,1-10-13-12,1.6,1,1.6,14,1-4-9-2,TURF,C5,92,251.6,1155.1,,,,,,
20150705ST3,,,9-1-10-8,9-1-10-8,10-9-7-1,9-10-7-8,1-9-8-5,9-10-8-1,1-9-10-8,2-3-5-7,17,5,2,11,5-7-9-6,TURF,C4,1852.1,7917.4,45600.8,,,,,,
20150705ST4,,,7-5-3-2,2-5-4-11,7-12-3-1,7-12-5-3,11-1-7-4,2-5-12-4,7-3-5-1,3-7-10-11,6,7,3.6,14,4-3-10-8,TURF,C4,688.8,936.5,13509.9,,,,,,
20150705ST5,,,11-1-2-7,11-3-1-5,11-2-4-7,7-11-2-4,11-1-9-4,1-7-11-9,11-1-2-3,8-2-5-11,8.6,4,2.7,12,4-3-9-1,AWT,C4,286.8,2189.6,8884.6,49021.2,,,,,
20150705ST6,,,1-2-11-12,1-12-11-2,2-1-7-8,11-5-6-2,1-11-2-7,1-11-2-12,2-1-8-6,9-7-2-1,9.5,4,3.7,14,5-4-2-1,TURF,C6,12.8/79.7/22.0,428.8,405.4/2182.8/676.1,,,,,,4;1-3-11
20150705ST7,,,5-1-3-8,5-8-1-7,5-1-3-8,3-5-1-8,5-1-3-12,5-3-2-8,5-3-1-8,1-12-8-3,7.8,10,1.7,14,3-5-4-2,TURF,C3,101.8,817.7,2751.8,,2446680.3,3432.1,,,
20150705ST8,,,2-12-5-4,2-4-10-3,1-4-9-2,6-12-9-4,5-8-7-2,2-12-3-5,5-12-7-2,3-14-4-1,7.4,7,5.2,14,4-5-7-6,AWT,C3,726.9,1312.8,16268.7,36513.4,,,,,
20150705ST9,,,8-2-10-1,4-6-8-10,2-4-10-1,8-2-10-3,1-10-2-12,8-1-10-2,10-2-8-1,8-5-10-11,4.3,1,4.3,14,1-6-4-14,TURF,C3,1682.8,3719.9,23415.8,,,,,,
20150705ST10,,,6-8-2-4,8-6-11-2,2-4-6-8,9-6-8-4,6-7-8-10,2-4-10-8,8-6-2-10,8-6-12-11,2.9,1,2.9,12,1-2-12-6,TURF,C2,198.2,300.4,2304.8,,,,,,
20150705ST11,,,5-4-8-2,5-2-4-9,4-2-5-6,8-5-1-2,8-5-4-7,4-5-6-12,5-8-4-2,3-1-5-7,20,3,3.3,12,7-9-1-6,AWT,C3,528.9,2891.7,17473.4,40661.8,,,,,
20150708HV1,,,1-9-7-2,1-9-2-4,9-2-1-6,9-2-1-4,2-4-9-1,1-2-6-9,2-9-1-6,6-7-1-9,8.1,4,2.9,12,4-6-2-1,TURF,C5,34.4,476.1,,,,,,,
20150708HV2,,,8-2-5-6,2-6-5-8,5-8-2-7,6-8-2-5,8-6-10-5,8-7-5-2,2-8-5-1,8-6-1-12,3.5,1,3.5,11,1-2-5-7,TURF,C5,120.6,133.5,1809,,,,,,
20150708HV3,,,4-7-2-3,7-2-4-3,1-7-8-3,9-3-7-8,4-8-1-2,4-2-3-7,7-4-2-3,3-4-7-2,5.5,2,3.3,12,3-1-2-4,TURF,C4,11.6,96.2,357.9,,,,,,
20150708HV4,,,5-1-7-9,7-9-5-11,7-1-5-11,9-5-1-3,5-1-11-4,12-5-4-1,5-1-7-3,12-1-7-4,13,12,2.7,12,4-5-2-10,TURF,C3,173.9,752.6,4592.9,,,,,,
20150708HV5,,,5-3-10-9,3-10-12-9,5-10-3-2,5-10-3-2,8-9-5-3,5-3-6-10,9-5-2-3,8-12-6-5,20,4,2.3,12,6-5-10-1,TURF,C4,596.5,4364.4,23376.1,"83,695",,,,,
20150708HV6,,,12-3-4-10,12-3-10-11,12-3-5-2,12-9-10-11,12-4-1-10,3-4-12-10,12-3-4-1,12-4-10-11,1.5,1,1.5,12,1-5-3-4,TURF,C3,27.7,55.7,288.7,,,,,,
20150708HV7,,,4-1-3-2,4-7-10-3,4-3-6-1,3-4-8-1,4-6-1-2,1-2-4-6,4-1-3-2,6-11-2-12,7.4,10,4.8,12,4-10-7-12,TURF,C4,3227.8,1572.8,73969.7,,,12346.7,,,
20150708HV8,,,4-10-8-3,10-8-7-4,3-1-9-2,7-10-8-5,3-2-4-8,1-4-10-8,8-4-9-5,6-10-2-5,52,5,3.5,12,11-3-9-8,TURF,C3,1136,3648.9,35834.2,193323.8,,,,,
20150708HV9,,,1-4-8-2,1-8-11-10,1-2-8-4,1-10-8-2,4-1-8-5,4-5-6-1,1-4-8-2,4-8-1-2,5.2,3,2.8,12,2-5-1-3,TURF,C2,35.8,176.5,1049.8,,,,,,
20150712ST1,4-1-6,1-3-4,4-1-5-6,4-14-6-5,4-1-14-12,4-14-1-3,2-4-6-1,4-1-2-3,4-3-6-5,4-14-1-6,2.3,1,2.3,14,1-4-2-5,TURF,C5,38,81.6,598.2,,,,,,
20150712ST2,1-4-7,7-6-4,6-7-4-8,4-8-2-10,4-3-13-11,10-4-13-11,4-7-12-8,3-4-1-7,7-4-8-3,1-4-7-10,19,2,3.7,14,9-1-2-12,TURF,C5,183.2,257.3,5992.3,,,,,,
20150712ST3,7-10-6,6-3-10,6-7-3-10,7-3-13-2,7-4-2-6,7-6-10-9,2-4-3-13,6-3-4-10,4-3-2-8,3-4-6-11,5.2,7,4.8,14,2-4-3-12,TURF,C4,416.1,93.7/525.9,3452.3/4165.3,,,,,,
20150712ST4,12-5-13,12-9-5,12-9-5-7,12-10-13-14,12-5-13-4,12-13-5-9,12-13-9-6,12-5-3-9,12-4-13-2,5-10-6-4,12,5,1.2,14,2-3-13-6,TURF,C3,3596.6,6888.4,105473.7,,,,,,
20150712ST5,8-7-13,11-1-7,8-7-14-1,7-1-13-11,7-1-3-8,8-7-14-3,7-8-1-14,7-13-14-8,8-7-13-1,7-9-1-8,2.9,1,2.9,14,1-6-5-2,TURF,C4,46.6,271.3,672.6,265339.4,,,,,
20150712ST6,3-5-4,3-1-6,5-3-1-2,12-1-3-5,3-1-5-7,8-9-3-1,3-5-1-2,5-3-7-12,1-5-3-12,12-1-13-10,5.3,8,2.8,14,12-1-13-10,TURF,C4,841.7,316.6,10382.3,,,,,,
20150712ST7,10-6-2,7-6-1,6-5-3-2,3-6-7-5,14-2-7-6,4-14-6-2,6-1-10-3,6-1-2-3,6-3-7-1,2-4-8-10,5.7,11,2.9,14,3-9-5-8,TUrF,C4,856.8,1095.1,14848,,,899.2,,,
20150712ST8,12-6-10,12-7-1,7-12-2-6,6-13-7-11,7-6-2-1,11-13-3-8,2-12-1-6,7-6-1-13,6-13-1-7,6-7-5-8,3.5,1,3.5,14,1-2-9-3,TURF,C3,118,229.1,2218.5,38869.5,,,,,
20150712ST9,12-3-8,12-3-8,10-3-4-8,8-12-3-7,8-7-3-10,10-3-8-12,3-8-6-12,8-12-3-2,8-4-3-12,8-3-12-6,2.4,1,2.4,11,1-2-3-7,TURF,C1,25.3,34.2,248.6,,,,,,
20150712ST10,10-4-8,4-10-1,4-1-10-2,10-4-8-2,10-4-2-1,10-4-1-8,4-1-6-10,4-10-6-14,4-10-1-8,8-10-14-1,5.8,14,2.4,14,3-2-14-4,TURF,C3,963.7,2683.8,16399.1,,,,,,
20150712ST11,4-10-9,4-10-9,4-10-3-9,10-4-9-12,4-3-9-8,10-4-6-9,4-1-10-6,4-3-2-1,4-10-9-1,4-6-9-10,1.6,1,1.6,14,1-6-4-2,TURF,C2,28.3,142.8,479.3,26991.5,,,125.6,4681,
