RACEDATE|RACECODE|RACENUMBER,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE,RESULT,WINODDS,FAVPOS,FAVODDS,NORUNNERS,MARKET,SURFACE,CLASS,F4,TIERCE,QTT,DT,TT,TTCONS,6UP,6UPC,DH
20150527ST1,4-5-7,5-7-2,5-11-14,5-11-4-14,5-4-14-11,8-11-14-5,5-11-4-8,4-5-7-8,4-5-14-2,5-2-14-11,2.8,1,2.8,14,,,,,,,,,,,,
20150527ST2,11-3-4,13-4-11,13-7-11,4-3-12-13,12-11-4-7,13-3-7-11,4-7-12-13,7-11-12-13,11-14-12-4,4-6-7-8,5.5,7,5.1,13,,,,,,,,,,,,
20150527ST3,12-4-10,12-4-10,4-12-5,5-10-4-9,7-10-5-7,4-9-12-10,4-10-1-12,4-10-9-12,10-4-12-1,10-4-12-11,5.4,2,2.9,10,,,,,,,,,,,,
20150527ST4,7-9-3,7-6-3,7-4-5,7-3-6-9,3-2-7-6,6-3-7-2,7-2-9-12,7-4-3-6,7-3-6-4,9-3-11-4,5.7,6,1.8,12,,,,,,,,,,,,
20150527ST5,11-3-6,2-5-14,2-3-6,3-6-14-12,9-3-12-7,4-3-2-9,2-5-3-6,4-3-9-5,3-7-9-6,6-12-7-9,4.1,1,4.1,14,,,,,,,,,,,,
20150527ST6,6-8-4,7-6-2,6-5-8,6-7-2-4,6-12-2-3,10-8-6-2,3-2-6-8,3-6-7-4,12-2-6-7,3-12-10-5,13,10,3.4,12,,,,,,,,,,,,
20150527ST7,8-2-6,7-1-2,7-12-6,12-7-6-3,8-11-12-4,5-11-10-3,2-7-9-11,6-7-11-9,11-6-7-12,9-12-8-6,16,8,2.9,14,,,,,,,,,,,,
20150527ST8,9-8-1,9-5-12,8-9-5,9-5-12-13,8-3-4-5,3-9-5-8,8-3-9-13,12-9-8-5,9-8-5-12,8-9-3-1,5.3,10,3.6,13,,,,,,,,,,,,
20150531ST1,9-4-13,9-3-1,13-3-7,13-2-3-9,13-9-4-2,13-9-12-2,1-3-12-13,1-9-13-3,12-13-3-7,13-1-8-2,3.8,1,3.8,14,,,,,,,,,,,,
20150531ST2,1-10-6,1-10-6,1-5-9,1-5-2-10,1-13-10-5,1-5-10-13,1-5-10-13,1-11-13-10,1-10-5-13,1-9-13-10,1.5,1,1.5,14,,,,,,,,,,,,
20150531ST3,9-10-14,6-9-12,11-10-9,10-14-1-2,11-10-14-7,11-10-14-9,6-1-14-9,9-6-10-8,1-10-3-14,6-5-11-14,10,4,3.7,14,,,,,,,,,,,,
20150531ST4,4-1-10,4-1-10,4-1-10,4-9-13-14,4-1-3-10,10-4-1-11,4-1-3-10,4-3-10-1,4-1-10-3,2-9-4-6,22,3,1.7,14,,,,,,,,,,,,
20150531ST5,5-7-4,2-1-4,7-11-4,7-1-2  4,2-5-7-1,4-7-5-2,11-4-7-1,11-1-5-12,7-1-4-13,4-3-1-5,4.8,1,4.8,14,,,,,,,,,,,,
20150531ST6,3-11-1,3-11-7,3-11-7,3-4-13-2,3-12-7-1,3-11-7-4,2-3-1-7,3-7-1-4,3-7-1-4,3-7-10-4,1.7,1,1.7,14,,,,,,,,,,,,
20150531ST7,1-6-8,1-2-6,1-2-6,1-6-4-3,2-1-6-3,4-1-2-6,1-6-8-2,1-5-4-2,1-6-2-5,4-2-6-1,7.6,4,2.5,8,,,,,,,,,,,,
20150531ST8,11-8-3,11-8-2,11-2-1,11-8-3-7,11-10-8-1,11-1-8-2,11-3-7 1,11-1-7-8,11-7-8 3,11-8-1-3,1.3,1,1.3,14,,,,,,,,,,,,
20150531ST9,13-8-3,10-13-8,8-13-9,12-13-11-8,13-1-4-9,13-11-9-12,1-13-8-3,8-3-4-1,8-1-13-4,13-3-11-10,3.4,1,3.4,14,,,,,,,,,,,,
