RACEDATE,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE
20150617HV,R7:10,R2:2,R3:7,R8:8,R8:8,R8:8,R6:11,R2:6,R1:4
20150614ST,R3:11,R8:5,R5:1,R9:3,R11:4,R11:4,R7:11,R6:13,R7:1
20150610HV,,,,R1:9,R8:3,R2:4,R5:2,R3:1,R2:4
20150607ST,,,,,,,,,
20150603HV,,,,,,,,,
